'name' 	 'time' 	 'f1' 	 'f2' 	 'f3' 	 'f4' 
0.005 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.025 	 259.0 	 1382.1 	 5187.9 	 --undefined-- 
0.030 	 259.2 	 1382.0 	 5188.0 	 --undefined-- 
0.035 	 259.5 	 1381.8 	 5188.0 	 --undefined-- 
0.040 	 259.6 	 1381.7 	 5188.1 	 --undefined-- 
0.045 	 259.7 	 1381.5 	 5188.1 	 --undefined-- 
0.050 	 923.5 	 3098.8 	 5196.9 	 --undefined-- 
0.055 	 1066.9 	 2031.2 	 3453.7 	 --undefined-- 
0.060 	 832.9 	 1470.4 	 2709.0 	 2966.9 
0.065 	 956.6 	 1563.4 	 2759.3 	 3735.5 
0.070 	 1003.7 	 1605.9 	 2796.5 	 3927.4 
0.075 	 993.5 	 1598.9 	 2827.8 	 4045.4 
0.080 	 988.9 	 1594.6 	 2863.8 	 4102.1 
0.085 	 1000.1 	 1606.6 	 2885.8 	 4127.4 
0.090 	 1022.1 	 1630.1 	 2893.2 	 4176.5 
0.095 	 1032.0 	 1638.3 	 2897.8 	 4216.1 
0.100 	 1028.0 	 1630.7 	 2902.7 	 4229.9 
0.105 	 1010.3 	 1614.1 	 2906.0 	 4245.2 
0.110 	 994.5 	 1609.5 	 2907.1 	 4250.3 
0.115 	 978.1 	 1611.7 	 2908.0 	 4250.0 
0.120 	 950.9 	 1611.1 	 2912.5 	 3807.2 
0.125 	 919.8 	 1609.3 	 2849.7 	 3075.4 
0.130 	 891.9 	 1604.3 	 2669.7 	 2929.3 
0.135 	 864.2 	 1595.0 	 2635.5 	 2938.2 
0.140 	 837.9 	 1587.2 	 2696.2 	 2948.0 
0.145 	 808.4 	 1581.5 	 2927.5 	 3993.3 
0.150 	 762.1 	 1549.9 	 1999.5 	 3269.3 
0.155 	 690.6 	 1367.3 	 1555.5 	 3029.6 
0.160 	 725.2 	 1527.3 	 2762.8 	 3998.9 
0.165 	 592.5 	 1575.0 	 3129.4 	 4295.5 
0.170 	 636.3 	 1512.8 	 3034.1 	 4357.0 
0.175 	 737.8 	 1482.5 	 2967.2 	 4354.4 
0.180 	 760.1 	 1498.1 	 2941.6 	 4314.7 
0.185 	 778.9 	 1525.4 	 2924.0 	 4323.3 
0.190 	 768.3 	 1556.9 	 2925.0 	 4364.8 
0.195 	 686.5 	 1557.7 	 2914.8 	 4350.9 
0.200 	 685.0 	 1525.5 	 2881.6 	 4301.7 
0.205 	 707.4 	 1526.2 	 2882.2 	 4448.2 
0.210 	 618.1 	 1615.4 	 2954.8 	 4766.1 
0.215 	 356.8 	 1474.1 	 2917.4 	 3369.6 
0.220 	 506.1 	 1469.4 	 2903.7 	 4048.3 
0.225 	 625.8 	 1501.6 	 2898.8 	 4278.7 
0.230 	 686.4 	 1524.0 	 2907.2 	 4265.4 
0.235 	 728.3 	 1534.5 	 2927.6 	 4240.3 
0.240 	 762.2 	 1541.4 	 2951.5 	 4237.1 
0.245 	 787.9 	 1540.7 	 2976.8 	 4272.6 
0.250 	 808.9 	 1537.6 	 3004.9 	 4299.9 
