'name' 	 'time' 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.005 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.025 	 258.4 	 1382.0 	 5187.9 	 --undefined-- 
0.030 	 258.6 	 1381.8 	 5187.8 	 --undefined-- 
0.035 	 258.9 	 1381.4 	 5187.7 	 --undefined-- 
0.040 	 259.0 	 1380.9 	 5187.6 	 --undefined-- 
0.045 	 259.1 	 1380.2 	 5187.4 	 --undefined-- 
0.050 	 276.4 	 1071.7 	 3316.0 	 5196.3 
0.055 	 463.9 	 1614.1 	 2839.8 	 4112.4 
0.060 	 797.6 	 1814.0 	 2920.0 	 4093.5 
0.065 	 897.7 	 1747.5 	 2944.2 	 4240.9 
0.070 	 953.7 	 1752.8 	 2951.7 	 4271.3 
0.075 	 970.1 	 1749.7 	 2944.4 	 4273.0 
0.080 	 963.6 	 1711.3 	 2949.5 	 4257.3 
0.085 	 952.2 	 1673.5 	 2962.9 	 4251.2 
0.090 	 949.6 	 1681.9 	 2963.1 	 4268.1 
0.095 	 952.1 	 1714.8 	 2951.1 	 4279.8 
0.100 	 947.0 	 1745.1 	 2937.9 	 4264.0 
0.105 	 930.1 	 1770.0 	 2935.7 	 4254.0 
0.110 	 905.6 	 1799.4 	 2953.7 	 4263.3 
0.115 	 881.9 	 1836.9 	 2989.6 	 4289.3 
0.120 	 859.0 	 1874.1 	 3043.5 	 4295.9 
0.125 	 838.6 	 1901.2 	 3104.3 	 4314.7 
0.130 	 813.8 	 1911.0 	 3172.9 	 4349.7 
0.135 	 778.0 	 1904.6 	 3208.1 	 4413.2 
0.140 	 735.7 	 1921.0 	 3225.6 	 4495.4 
0.145 	 688.0 	 1925.6 	 3245.0 	 4567.1 
0.150 	 644.2 	 1921.4 	 3245.6 	 4570.4 
0.155 	 597.4 	 1921.3 	 3247.3 	 4551.3 
0.160 	 547.5 	 1910.7 	 3251.1 	 4528.7 
0.165 	 618.6 	 1887.7 	 3230.0 	 4517.3 
0.170 	 657.0 	 1875.3 	 3228.7 	 4608.2 
0.175 	 663.4 	 1908.3 	 3307.2 	 4719.8 
0.180 	 645.4 	 1893.4 	 3299.5 	 4556.6 
0.185 	 593.3 	 1778.0 	 3213.0 	 4397.1 
0.190 	 445.5 	 1591.4 	 3147.0 	 4338.7 
0.195 	 271.1 	 1206.8 	 2399.0 	 3724.2 
0.200 	 238.3 	 1288.3 	 1982.9 	 3404.0 
0.205 	 259.4 	 1968.5 	 2952.0 	 4407.7 
0.210 	 315.6 	 2131.7 	 3259.0 	 4671.3 
0.215 	 348.1 	 2047.6 	 3312.8 	 4475.2 
0.220 	 408.4 	 1957.8 	 3327.5 	 4538.9 
0.225 	 472.3 	 1938.4 	 3270.7 	 4551.8 
0.230 	 531.2 	 1960.8 	 3200.6 	 4537.5 
0.235 	 581.2 	 1980.9 	 3204.8 	 4559.5 
0.240 	 616.8 	 1771.6 	 2231.4 	 3490.4 
0.245 	 647.1 	 1838.9 	 1983.2 	 3211.0 
0.250 	 677.8 	 1873.1 	 1969.4 	 3211.7 
