'name' 	 'time' 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.005 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.025 	 847.7 	 1448.0 	 2414.7 	 3409.1 
0.030 	 736.1 	 1443.8 	 2361.1 	 3350.9 
0.035 	 729.0 	 1458.2 	 2417.4 	 3319.2 
0.040 	 761.3 	 1478.3 	 2443.9 	 3404.8 
0.045 	 717.9 	 1506.1 	 2431.6 	 3437.0 
0.050 	 685.0 	 1563.3 	 2412.6 	 3399.0 
0.055 	 641.0 	 1598.5 	 2465.3 	 3286.8 
0.060 	 597.7 	 1605.9 	 2540.7 	 3263.4 
0.065 	 548.2 	 1503.9 	 2495.7 	 3335.0 
0.070 	 509.5 	 1478.5 	 2480.7 	 3362.2 
0.075 	 434.2 	 1530.6 	 2488.3 	 3339.8 
0.080 	 427.4 	 1604.3 	 2519.2 	 3299.1 
0.085 	 1487.6 	 2373.0 	 3154.9 	 4391.7 
0.090 	 1233.0 	 2463.7 	 3242.5 	 4387.7 
0.095 	 1373.0 	 2452.3 	 3294.9 	 4350.4 
0.100 	 2325.3 	 3257.8 	 4264.2 	 --undefined-- 
0.105 	 824.1 	 2446.1 	 3302.3 	 3588.5 
0.110 	 928.2 	 2396.8 	 3079.0 	 3626.9 
0.115 	 961.3 	 2330.2 	 3042.5 	 3618.6 
0.120 	 2147.2 	 3002.6 	 3645.8 	 4794.7 
0.125 	 1480.4 	 2264.4 	 3133.2 	 3894.4 
0.130 	 1655.8 	 2686.9 	 3108.0 	 4164.8 
0.135 	 1592.3 	 2610.8 	 3141.2 	 4187.1 
0.140 	 1443.6 	 2537.3 	 3049.3 	 4019.9 
0.145 	 1487.8 	 2510.2 	 3049.7 	 3886.0 
0.150 	 1316.3 	 2416.5 	 2977.8 	 3789.1 
0.155 	 1061.2 	 2369.3 	 2944.5 	 3727.0 
0.160 	 1174.2 	 2419.3 	 2960.1 	 3757.8 
0.165 	 1282.6 	 2437.6 	 2991.1 	 3724.9 
0.170 	 1394.7 	 2470.2 	 3050.0 	 3620.3 
0.175 	 1612.1 	 2499.0 	 3240.6 	 3773.3 
0.180 	 1478.0 	 2477.6 	 3137.5 	 3925.6 
0.185 	 835.6 	 2425.4 	 3085.8 	 3829.6 
0.190 	 841.9 	 2404.1 	 3112.1 	 3992.7 
0.195 	 537.8 	 1601.2 	 2554.5 	 3374.6 
0.200 	 519.8 	 1538.7 	 2489.4 	 3332.7 
0.205 	 538.1 	 1470.1 	 2452.2 	 3226.9 
0.210 	 552.4 	 1454.6 	 2427.2 	 3191.9 
0.215 	 584.6 	 1422.4 	 2400.4 	 3202.4 
0.220 	 598.7 	 1420.2 	 2385.4 	 3205.2 
0.225 	 604.2 	 1380.6 	 2364.0 	 3223.6 
0.230 	 626.8 	 1339.1 	 2360.2 	 3294.7 
0.235 	 648.0 	 1345.0 	 2370.2 	 3336.0 
0.240 	 671.7 	 1342.7 	 2390.2 	 3294.9 
0.245 	 681.8 	 1347.8 	 2379.4 	 3307.9 
0.250 	 697.1 	 1314.2 	 2333.5 	 3338.8 
