'name' 	 'time' 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.005 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.025 	 703.8 	 1417.8 	 2318.4 	 3517.0 
0.030 	 697.5 	 1425.7 	 2339.4 	 3532.6 
0.035 	 698.3 	 1438.9 	 2366.0 	 3553.8 
0.040 	 697.1 	 1448.6 	 2394.7 	 3599.8 
0.045 	 701.0 	 1458.1 	 2408.0 	 3695.2 
0.050 	 648.6 	 1463.5 	 2396.6 	 3712.6 
0.055 	 624.0 	 1469.0 	 2397.0 	 3722.8 
0.060 	 554.0 	 1424.0 	 2389.2 	 3789.3 
0.065 	 497.0 	 1434.9 	 2379.6 	 3809.6 
0.070 	 417.0 	 1464.4 	 2376.9 	 3811.8 
0.075 	 401.4 	 1488.1 	 2416.2 	 3810.2 
0.080 	 313.2 	 1472.0 	 2429.7 	 3841.5 
0.085 	 1133.5 	 2310.9 	 3689.8 	 4868.4 
0.090 	 1270.2 	 2329.0 	 3624.9 	 4632.1 
0.095 	 1353.4 	 2372.0 	 3564.4 	 4643.7 
0.100 	 1329.6 	 2439.6 	 3632.1 	 4612.7 
0.105 	 1197.1 	 2459.0 	 3666.7 	 4603.1 
0.110 	 921.4 	 2332.5 	 3634.6 	 4569.8 
0.115 	 933.3 	 2275.0 	 3599.6 	 4542.3 
0.120 	 1010.7 	 2427.6 	 3549.6 	 4448.9 
0.125 	 1147.0 	 2582.0 	 3616.7 	 4425.7 
0.130 	 1087.9 	 2334.8 	 3674.0 	 4526.6 
0.135 	 999.2 	 2128.5 	 3714.6 	 3855.9 
0.140 	 1013.4 	 2218.6 	 3014.4 	 3926.0 
0.145 	 972.3 	 2282.4 	 2972.0 	 4039.3 
0.150 	 983.1 	 2282.1 	 3282.2 	 4258.3 
0.155 	 966.1 	 2335.9 	 3362.3 	 4398.3 
0.160 	 952.4 	 2368.1 	 3373.5 	 4487.1 
0.165 	 912.6 	 2263.4 	 3335.9 	 4505.3 
0.170 	 914.1 	 2384.0 	 3330.0 	 3643.2 
0.175 	 1216.7 	 2549.9 	 3616.8 	 4804.2 
0.180 	 1433.0 	 2557.0 	 3687.3 	 4858.3 
0.185 	 1421.1 	 2427.8 	 3707.0 	 4863.3 
0.190 	 466.3 	 1549.3 	 2502.4 	 3813.0 
0.195 	 398.0 	 1454.7 	 2383.3 	 3768.2 
0.200 	 434.0 	 1467.0 	 2386.6 	 3826.0 
0.205 	 455.4 	 1479.5 	 2378.4 	 3810.4 
0.210 	 481.2 	 1477.9 	 2372.9 	 3766.9 
0.215 	 496.6 	 1475.9 	 2372.9 	 3817.3 
0.220 	 528.7 	 1467.4 	 2364.2 	 3722.1 
0.225 	 542.7 	 1467.7 	 2357.9 	 3671.7 
0.230 	 557.4 	 1456.6 	 2348.0 	 3691.1 
0.235 	 568.9 	 1451.7 	 2340.5 	 3652.9 
0.240 	 573.5 	 1437.1 	 2337.2 	 3685.2 
0.245 	 597.0 	 1422.7 	 2336.6 	 3674.8 
0.250 	 602.5 	 1425.9 	 2347.5 	 3719.4 
