'name' 	 'time' 	 'f1' 	 'f2' 	 'f3' 	 'f4' 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.030 	 1453.1 	 2775.5 	 5437.1 	 --undefined-- 
0.040 	 1452.9 	 2775.1 	 5437.1 	 --undefined-- 
0.050 	 1176.6 	 2440.9 	 4666.5 	 --undefined-- 
0.060 	 564.0 	 1554.1 	 2524.6 	 3877.4 
0.070 	 1070.9 	 1750.6 	 2707.6 	 4173.7 
0.080 	 1029.1 	 1739.6 	 2693.9 	 4143.9 
0.090 	 954.5 	 1748.5 	 2762.3 	 4153.9 
0.100 	 937.0 	 1732.2 	 2732.2 	 4198.9 
0.110 	 937.4 	 1767.1 	 2735.6 	 4213.2 
0.120 	 962.2 	 1801.4 	 2814.3 	 4266.5 
0.130 	 927.0 	 1807.5 	 2810.8 	 4379.2 
0.140 	 830.2 	 1811.1 	 2797.6 	 4425.9 
0.150 	 733.3 	 1826.0 	 2776.5 	 4542.1 
0.160 	 604.4 	 1814.9 	 2743.1 	 4613.4 
0.170 	 431.9 	 1783.9 	 2708.8 	 4346.5 
0.180 	 273.1 	 1727.4 	 2749.3 	 4117.4 
0.190 	 246.3 	 1719.2 	 2872.4 	 4153.8 
0.200 	 244.7 	 1804.6 	 3045.9 	 4133.0 
0.210 	 247.6 	 1834.3 	 3089.2 	 4354.5 
0.220 	 244.9 	 1906.3 	 3184.5 	 4303.3 
0.230 	 236.7 	 1922.8 	 3112.5 	 4249.1 
0.240 	 225.0 	 1837.2 	 3026.3 	 4043.0 
0.250 	 300.1 	 1612.4 	 2750.4 	 3804.1 
0.260 	 551.3 	 1496.4 	 2727.6 	 3821.6 
0.270 	 608.1 	 1529.1 	 2291.2 	 3779.4 
0.280 	 691.3 	 1567.5 	 2158.2 	 3728.5 
0.290 	 752.5 	 1592.3 	 2123.5 	 3778.4 
0.300 	 766.5 	 1621.6 	 1931.9 	 3638.3 
0.310 	 795.7 	 1642.8 	 2197.1 	 3463.1 
0.320 	 834.2 	 1635.6 	 3102.7 	 3743.8 
0.330 	 860.7 	 1604.7 	 2916.2 	 3689.3 
0.340 	 872.8 	 1573.4 	 2820.3 	 3677.5 
0.350 	 891.5 	 1599.7 	 2914.7 	 3661.1 
0.360 	 937.6 	 1653.9 	 3254.8 	 3765.1 
0.370 	 950.0 	 1726.2 	 3111.7 	 4045.6 
0.380 	 898.0 	 1707.2 	 3063.6 	 3872.5 
0.390 	 679.1 	 1475.7 	 2572.0 	 3461.3 
0.400 	 829.9 	 1451.3 	 2735.8 	 3509.4 
0.410 	 988.5 	 1528.0 	 3040.2 	 3616.8 
0.420 	 941.0 	 1602.8 	 3281.9 	 3871.8 
0.430 	 870.8 	 1497.8 	 2979.2 	 3611.9 
0.440 	 965.7 	 1361.5 	 2894.6 	 3659.0 
0.450 	 1012.7 	 1418.9 	 2825.8 	 3743.9 
0.460 	 909.3 	 1692.8 	 3103.2 	 4124.1 
0.470 	 1281.0 	 2524.7 	 3604.0 	 4835.1 
0.480 	 1183.4 	 2277.0 	 3307.8 	 4515.2 
0.490 	 1136.7 	 2427.3 	 3601.2 	 4805.3 
0.500 	 1234.5 	 2531.5 	 3506.9 	 4648.1 
0.510 	 1198.2 	 2429.5 	 3584.4 	 4460.6 
0.520 	 1200.0 	 2563.4 	 3819.1 	 4213.1 
0.530 	 1260.0 	 2546.0 	 3530.3 	 4469.8 
0.540 	 1603.0 	 2911.2 	 4103.6 	 4784.7 
0.550 	 1384.4 	 2622.1 	 3701.4 	 4786.3 
0.560 	 1459.6 	 2820.2 	 3779.3 	 5016.7 
0.570 	 1455.7 	 2831.8 	 3862.7 	 4892.2 
0.580 	 1314.0 	 2716.8 	 3849.8 	 4667.9 
0.590 	 1416.6 	 2689.0 	 3709.2 	 4052.2 
0.600 	 1668.5 	 2731.8 	 3785.5 	 --undefined-- 
0.610 	 1409.4 	 2339.1 	 3396.7 	 4434.2 
0.620 	 1186.6 	 2176.0 	 3296.9 	 4355.9 
0.630 	 1082.5 	 2116.3 	 3098.7 	 4170.3 
0.640 	 911.8 	 2412.3 	 2759.0 	 3966.6 
0.650 	 1374.3 	 2644.5 	 3697.9 	 4731.6 
0.660 	 1368.5 	 2441.3 	 3420.7 	 4445.6 
0.670 	 1320.1 	 2392.9 	 3521.2 	 4399.4 
0.680 	 1259.9 	 2345.4 	 3451.9 	 4345.7 
0.690 	 1129.9 	 2275.4 	 3366.4 	 4523.7 
0.700 	 1373.9 	 2337.9 	 3350.2 	 4452.9 
0.710 	 1492.8 	 2358.5 	 3399.0 	 4412.7 
0.720 	 1453.6 	 2458.1 	 3429.8 	 4446.3 
0.730 	 1496.2 	 2246.0 	 3472.8 	 4428.4 
0.740 	 1364.6 	 2169.5 	 3443.7 	 4671.4 
0.750 	 885.3 	 2073.8 	 3278.7 	 4410.1 
0.760 	 552.3 	 1675.0 	 2793.2 	 3994.0 
0.770 	 664.3 	 1731.8 	 2770.3 	 3741.2 
0.780 	 963.6 	 2145.9 	 3668.3 	 4149.1 
0.790 	 1429.6 	 2740.8 	 5435.6 	 --undefined-- 
0.800 	 1443.0 	 2760.1 	 5436.5 	 --undefined-- 
0.810 	 1447.2 	 2766.5 	 5436.8 	 --undefined-- 
0.820 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.830 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
