'name' 	 'time' 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.030 	 1449.4 	 2770.0 	 5436.8 	 --undefined-- 
0.040 	 1449.6 	 2770.4 	 5436.9 	 --undefined-- 
0.050 	 1188.9 	 2440.7 	 4669.5 	 --undefined-- 
0.060 	 601.3 	 1560.1 	 2522.3 	 3904.4 
0.070 	 1057.8 	 1740.0 	 2674.4 	 4177.1 
0.080 	 1029.0 	 1739.5 	 2693.7 	 4143.9 
0.090 	 954.5 	 1748.6 	 2762.3 	 4153.9 
0.100 	 937.0 	 1732.2 	 2732.1 	 4199.0 
0.110 	 937.3 	 1767.1 	 2735.7 	 4213.2 
0.120 	 962.1 	 1801.4 	 2814.5 	 4266.6 
0.130 	 927.0 	 1807.5 	 2810.8 	 4379.2 
0.140 	 830.3 	 1811.1 	 2797.6 	 4425.7 
0.150 	 733.3 	 1826.1 	 2776.5 	 4542.1 
0.160 	 604.5 	 1815.0 	 2743.1 	 4612.2 
0.170 	 432.4 	 1783.9 	 2708.8 	 4349.0 
0.180 	 273.2 	 1727.7 	 2750.3 	 4142.1 
0.190 	 246.5 	 1719.8 	 2858.9 	 4192.9 
0.200 	 245.0 	 1799.7 	 3002.7 	 4184.7 
0.210 	 247.7 	 1834.0 	 3097.5 	 4337.1 
0.220 	 245.1 	 1904.9 	 3174.1 	 4299.0 
0.230 	 236.9 	 1917.4 	 3079.2 	 4239.2 
0.240 	 230.0 	 1840.0 	 3035.0 	 4020.8 
0.250 	 459.0 	 1785.1 	 2956.0 	 4097.1 
0.260 	 943.2 	 2075.5 	 3483.4 	 4769.7 
0.270 	 515.8 	 1955.4 	 3068.0 	 4288.7 
0.280 	 588.7 	 1874.5 	 2935.5 	 4148.4 
0.290 	 647.8 	 1873.4 	 2917.1 	 4061.6 
0.300 	 717.0 	 1846.0 	 2886.2 	 4035.9 
0.310 	 777.5 	 1802.4 	 2861.2 	 4050.0 
0.320 	 798.7 	 1738.9 	 2863.4 	 3993.6 
0.330 	 825.6 	 1642.2 	 2929.7 	 3914.4 
0.340 	 872.3 	 1619.8 	 3016.2 	 3878.8 
0.350 	 903.5 	 1609.9 	 2884.8 	 3826.3 
0.360 	 904.2 	 1610.3 	 2883.5 	 3779.8 
0.370 	 904.6 	 1628.6 	 2810.8 	 3751.1 
0.380 	 936.3 	 1657.0 	 2862.5 	 3736.8 
0.390 	 918.2 	 1607.3 	 2851.4 	 3728.2 
0.400 	 1048.4 	 1459.0 	 2852.6 	 3724.6 
0.410 	 1108.9 	 1296.7 	 2838.7 	 3682.8 
0.420 	 859.3 	 1542.9 	 2836.1 	 3656.5 
0.430 	 960.5 	 1571.1 	 2912.1 	 3659.5 
0.440 	 1003.1 	 1590.8 	 2948.6 	 3692.2 
0.450 	 959.0 	 1539.1 	 2958.4 	 3687.6 
0.460 	 940.1 	 1536.3 	 2981.5 	 3729.6 
0.470 	 814.0 	 1477.8 	 3036.7 	 3791.6 
0.480 	 717.2 	 1471.3 	 3109.6 	 3793.8 
0.490 	 662.6 	 1472.1 	 2953.2 	 3789.1 
0.500 	 640.5 	 1374.3 	 2705.1 	 3803.0 
0.510 	 578.7 	 1521.4 	 2758.6 	 3906.8 
0.520 	 1144.3 	 1819.3 	 3194.6 	 4305.6 
0.530 	 919.3 	 1157.6 	 2756.8 	 4350.9 
0.540 	 1011.6 	 1529.0 	 3118.5 	 4475.0 
0.550 	 1240.5 	 2525.1 	 3654.4 	 4793.3 
0.560 	 1230.2 	 2425.2 	 3546.1 	 4585.3 
0.570 	 1331.2 	 2619.1 	 3797.3 	 --undefined-- 
0.580 	 1214.7 	 2495.3 	 3299.3 	 4586.7 
0.590 	 1309.9 	 2524.4 	 3505.4 	 4819.8 
0.600 	 1236.7 	 2330.8 	 3417.4 	 4484.4 
0.610 	 1221.5 	 2639.8 	 3767.3 	 4874.3 
0.620 	 1328.8 	 2609.2 	 3595.9 	 4838.2 
0.630 	 1097.9 	 1951.4 	 3140.0 	 4429.2 
0.640 	 611.0 	 1840.3 	 2865.3 	 4192.8 
0.650 	 1307.8 	 2211.2 	 3290.5 	 4325.4 
0.660 	 1336.4 	 2404.9 	 3530.8 	 4330.1 
0.670 	 1357.0 	 2143.1 	 3466.5 	 4783.4 
0.680 	 1218.3 	 2220.6 	 3374.5 	 4513.8 
0.690 	 1323.8 	 2197.0 	 3220.7 	 4433.7 
0.700 	 1204.9 	 2173.9 	 3382.1 	 4558.4 
0.710 	 1103.1 	 2309.7 	 3472.3 	 4587.0 
0.720 	 1244.2 	 2405.7 	 3701.0 	 4568.0 
0.730 	 1386.2 	 2420.2 	 3840.6 	 4029.9 
0.740 	 1192.3 	 2295.1 	 3504.7 	 4334.5 
0.750 	 1040.0 	 2086.4 	 3236.6 	 4232.8 
0.760 	 569.3 	 1692.6 	 3021.1 	 3773.4 
0.770 	 591.8 	 1653.9 	 3017.2 	 4221.1 
0.780 	 795.8 	 1898.1 	 3530.4 	 3748.7 
0.790 	 1459.6 	 2785.3 	 5437.3 	 --undefined-- 
0.800 	 1456.9 	 2781.2 	 5437.2 	 --undefined-- 
0.810 	 1455.6 	 2779.3 	 5437.2 	 --undefined-- 
0.820 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.830 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
